Date,رقم القيد,              ,اسم المشروع معدل,اسم المشروع,Type,Amount,Code
1-Mar-22,1527,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلصات 5و6و7و8 بعد الصرف,محطه الهنادى - الأقصر,محطه الهنادى - الأقصر,المقاولات,33330826.86,4100
1-Mar-22,1529,تسوية عملاء مقاولات مارس 2022 - تسوية المتبقى من التعويضات حتى رقم 3 بعد الصرف,17ع. اكتوبر,17ع. اكتوبر,المقاولات,5551706,4006
1-Mar-22,1540,تسوية عملاء مقاولات مارس 2022 - تسوية مستخلصات من رقم 1 الى مستخلص 3 بعد الصرف,مبنى خدمات الفحص الفني - اسوان,مبنى خدمات الفحص الفني - اسوان,المقاولات,19301279.07,4124
1-Mar-22,2372,تسوية عملاء استثمار عقارى - اثبات تحويل جزء من الايراد المؤجل لايرادات الاستثمار العقارى,كارفور- دارنا ( وحدات مباعه ),كارفور- دارنا ( وحدات مباعه ),الاستثمار,67968,7001
1-Mar-22,2372,تسوية عملاء استثمار عقارى - اثبات تحويل جزء من الايراد المؤجل لايرادات الاستثمار العقارى, الشمس 70 ( وحدات مباعه ), الشمس 70 ( وحدات مباعه ),الاستثمار,3036,7004
1-Mar-22,2372,تسوية عملاء استثمار عقارى - اثبات تحويل جزء من الايراد المؤجل لايرادات الاستثمار العقارى,نزهة العبور ( وحدات مباعه ),نزهة العبور ( وحدات مباعه ),الاستثمار,2682,7007
1-Mar-22,2372,تسوية عملاء استثمار عقارى - اثبات تحويل جزء من الايراد المؤجل لايرادات الاستثمار العقارى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,90557,7003
1-Mar-22,2372,تسوية عملاء استثمار عقارى - اثبات تحويل جزء من الايراد المؤجل لايرادات الاستثمار العقارى,جراج عمارة 14 دارنا ( وحدات مباعه ),جراج عمارة 14 دارنا ( وحدات مباعه ),الاستثمار,4158,7006
1-Mar-22,2372,تسوية عملاء استثمار عقارى - اثبات تحويل جزء من الايراد المؤجل لايرادات الاستثمار العقارى,رووف العبور ( وحدات مباعه ),رووف العبور ( وحدات مباعه ),الاستثمار,774,7008
1-Mar-22,2392,تسوية عملاء استثمار عقارى - اثبات تحويل جزء من الايراد المؤجل لايرادات الاستثمار العقارى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,171752,7003
1-Mar-22,2373,تسوية عملاء استثمار عقارى - اثبات مبيعات استثمار عقارى بالمشروع لوحدات مباعه ومسلمه خلال الربع الاول,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,18554316,7003
1-Mar-22,2374,تسوية عملاء استثمار عقارى - اثبات تحويل جزء من الايراد المؤجل لايرادات الاستثمار العقارى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,653440,7003
1-Mar-22,2376,تسوية عملاء استثمار عقارى - اثبات فروق ايرادات وتكاليف استثمار عقارى بالمشروع  لوحدات مباعه ومسلمه,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,4381031,7003
1-Mar-22,2380,تسوية عملاء استثمار عقارى - اثبات مبيعات وحده سكنيه بمشروع دارنا,كارفور- دارنا ( وحدات مباعه ),كارفور- دارنا ( وحدات مباعه ),الاستثمار,811120,7001
1-Mar-22,2381,تسوية عملاء استثمار عقارى - الغاء وحده مباعه,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,-1806532,7003
1-Mar-22,2382,تسوية عملاء استثمار عقارى - الغاء وحده مباعه,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,-1123000,7003
1-Mar-22,2383,تسوية عملاء استثمار عقارى - الغاء وحده مباعه,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,-1053000,7003
1-Mar-22,2385,تسوية عملاء استثمار عقارى - اثبات الغاء وحده رووف ,رووف العبور ( وحدات مباعه ),رووف العبور ( وحدات مباعه ),الاستثمار,-153000,7008
1-Mar-22,1649,مبيعات اسمنت الدوليه للمقاولات,المخزن,المخزن,مخزن الاسمنت,842484.39,9001
1-Mar-22,1650,مبيعات اسمنت بدايه للطرق,المخزن,المخزن,مخزن الاسمنت,108398.25,9001
1-Mar-22,1651,مبيعات اسمنت بدايه للطرق,المخزن,المخزن,مخزن الاسمنت,118028.07,9001
1-Mar-22,1652,مبيعات اسمنت بدايه للطرق,المخزن,المخزن,مخزن الاسمنت,91850,9001
1-Mar-22,1653,مبيعات اسمنت بدايه للطرق,المخزن,المخزن,مخزن الاسمنت,45861.54,9001
1-Mar-22,2678,الدولية للمقاولات والتوريدات,المخزن,المخزن,مخزن الاسمنت,232423.16,9001
1-Mar-22,2679,بداية للطرق والمقاولات,المخزن,المخزن,مخزن الاسمنت,277643.86,9001
1-Mar-22,2680,بداية للطرق والمقاولات,المخزن,المخزن,مخزن الاسمنت,59573.68,9001
1-Mar-22,2681,بداية للطرق والمقاولات,المخزن,المخزن,مخزن الاسمنت,57084.21,9001
1-Mar-22,2682,بداية للطرق والمقاولات,المخزن,المخزن,مخزن الاسمنت,219431.58,9001
1-Jan-22,1624,قيمه مبيعات الاسمنت - بدايه للطرق والمقاولات,المخزن,المخزن,مخزن الاسمنت,281562,9001
1-Jan-22,1625,قيمه مبيعات الاسمنت - بدايه للطرق والمقاولات,المخزن,المخزن,مخزن الاسمنت,16376,9001
1-Jan-22,1626,قيمه مبيعات الاسمنت - بدايه للطرق والمقاولات,المخزن,المخزن,مخزن الاسمنت,19665,9001
1-Mar-22,0,ايراد السعوديه - خلال الربع الاول 2022,عملية سارى - السعوديه,عملية سارى - السعوديه,السعوديه,4254149,8001
1-Jun-22,1979,تسوية عملاء استثمار عقارى عن الربع الثانى 2022 - اثبات مبيعات استثمار عقارى لوحدات مباعه وتم تسليمها,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار,41373822,7003
