Revenues . 2019,,,,,,,,,,,,,,,,,,,,
,,,,كهرب,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,
Date,رقم القيد,التوصيف,اسم المشروع معدل,اسم المشروع,Type,مبلغ القيد,Code,,,,,,,,,,,,,
01-Jan-2021,1081,تسوية عملاء مقاولات يناير 2021 - تسوية المستخلص الختامي - قبل الصرف,كوبرى القنطرة الجنوبى - بور سعيد,كوبرى القنطرة الجنوبى - بور سعيد,المقاولات,"9,167,981.10 ",4074,,,,,,,,,,,0,3ع. العبور,
01-Feb-2021,988,مبيعات خرسانه الجيزه,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"38,666.67 ",3001,,,,,,,,,,,0,محطه صدر الحيطان,
01-Feb-2021,989,مبيعات خرسانه الميدان,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"44,912.28 ",3001,,,,,,,,,,,0,محطه قريه الريد,
01-Feb-2021,990,مبيعات خرسانه بنادر,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"39,587.72 ",3001,,,,,,,,,,,0,محطه العريش,
01-Feb-2021,991,مبيعات خرسانه امير احمد,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"5,473.68 ",3001,,,,,,,,,,,0,مصارف تلا ب,
01-Feb-2021,992,مبيعات خرسانه الجيزه ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"38,000.00 ",3001,,,,,,,,,,,0,مصارف الحصه الاولى,
01-Feb-2021,993,مبيعات خرسانه الميدان ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"40,771.93 ",3001,,,,,,,,,,,0,مصارف الاحراز,
01-Feb-2021,994,مبيعات خرسانه بنادر ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"46,596.49 ",3001,,,,,,,,,,,0,مصارف محله روح,
01-Feb-2021,995,مبيعات خرسانه امير احمد ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"2,736.84 ",3001,,,,,,,,,,,0,مصارف ابيار الثانية أ,
01-Feb-2021,996,مبيعات خرسانه امير احمد ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"2,491.23 ",3001,,,,,,,,,,,0,مصارف السرو الاعلى,
01-Feb-2021,997,مبيعات خرسانه الجيزه  ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,"203,684.21 ",3001,,,,,,,,,,,0,مصارف النقراشى ب,
