المشروع,تاريخ البدء,تاريخ الانتهاء,قيمة المشروع,مكان المشروع,التدفق النقدي الداخل,التدفق النقدي الخارج,صافي التدفق النقدي,خطاب ضمان,الربح / الخسارة,نسبة الاتمام,المتبقي
كوبرى العين السخنه,19-Apr-17,31-Oct-17,,السخنة,,,,,,,
كوبرى الفرقه الخامسه,27-Sep-22,27-Nov-22,,التجمع,,,,,,,
كوبرى القنطرة الجنوبى - بور سعيد,1-Mar-19,1-Mar-20,,الاسماعيلية ,,,,,,,
كوبرى القنطرة غرب - اسماعيليه,1-Mar-19,1-Mar-20,,الاسماعيلية ,,,,,,,
كوبرى الكابلات - عمر المختار,1-Dec-19,1-Apr-20,,المطرية,,,,,,,
كوبرى ترعه الزمر,16-Aug-14,30-Sep-16,,الجيزة,,,,,,,
كوبرى تقاطع الاسمرات مع محور الشهيد,1-Aug-21,15-Jan-23,,القطامية,,,,,,,
كوبرى تقاطع الدائرى مع بديل السويس,29-Nov-21,1-Jul-22,,طريق السويس - الدائرى,,,,,,,
كوبرى تقاطع محمود على فهمى مع الاسمرات,1-Aug-21,15-Oct-22,,القطامية,,,,,,,
كوبرى جمصه,15-Aug-21,15-Jun-22,,جمصة,,,,,,,
كوبرى طه حسين,1-Aug-20,1-Mar-20,,النزهة,,,,,,,
كوبرى محمد نجيب,31-May-18,1-Dec-18,,السخنة,,,,,,,
كوبري المرج,-,-,,المرج,,,,,,,
مبنى الحافلات – العاصمة الإدارية,9-Jun-21,9-Jan-20,,العاصمة الادارية,,,,,,,
مبنى خدمات الفحص الفنى - 15مايو,1-Jul-21,1-Nov-21,,م . 15 مايو,,,,,,,
مبنى خدمات الفحص الفنى - بالقطامية ,1-Jul-21,1-Mar-22,,القطاميه,,,,,,,
مبنى خدمات الفحص الفنى - سوهاج ,1-Jul-21,1-Mar-22,,سوهاج الجديده,,,,,,,
مبنى خدمات الفحص الفني - اسوان,1-Dec-21,1-Jun-22,,أسوان,,,,,,,
مبنى خدمات الفحص الفني - السويس,1-Jul-21,1-Nov-21,,السويس,,,,,,,
مبنى خدمات الفحص الفني - العبور,1-Jul-21,1-Mar-22,,العبور,,,,,,,
مبنى خدمات الفحص الفني - برج العرب,1-Jul-21,1-Nov-21,,برج العرب,,,,,,,
محاجر بنى سويف,,,,,,,,,,,
محطة الريسه,10-Sep-16,10-Sep-16,,جنوب سيناء ,,,,,,,
محطة معالجة مياه الصرف بجبال السخنة,1-Oct-20,1-Feb-21,,العين السخنه,,,,,,,
محطه العريش,,,,,,,,,,,
محطه خلط الشروق,,,,,,,,,,,
محطه خلط بروكس,,,,,,,,,,,
محطه خلط رويه,,,,,,,,,,,
محطه صدر الحيطان,15-May-17,31-Aug-19,,سيناء,,,,,,,
محطه قريه الريد,15-May-17,31-Aug-19,,سيناء,,,,,,,
محطه مياه اقريه,,,,,,,,,,,
محطه مياه قسيمه,,,,,,,,,,,
مدرسة تعليم القياده - المعادى,1-Jul-21,1-Nov-21,,المعادى,,,,,,,
مرافق 78 عماره,,,,,,,,,,,
مرافق المعموره,9-May-16,9-May-16,,6 اكتوبر ,,,,,,,
مركز شرطه ابوتيج,1-Jun-22,1-Jun-23,,0,,,,,,,
مركز شرطه الاحوال المدنيه,1-Jun-22,1-Jun-23,,0,,,,,,,
مركز شرطه البوصيليه,1-Jun-22,1-Jun-23,,0,,,,,,,
مركز شرطه الرديسه,1-Jun-22,1-Jun-23,,0,,,,,,,
مركز شرطه الرمادى,1-Jun-22,1-Jun-23,,0,,,,,,,
مركز شرطه القناطر,1-Jun-22,1-Jun-23,,0,,,,,,,
مركز شرطه المطاعنه,1-Jun-22,1-Jun-23,,0,,,,,,,
مركز شرطه النخيله,1-Jun-22,1-Jun-23,,0,,,,,,,
مركز شرطه النمسا,1-Jun-22,1-Jun-23,,0,,,,,,,
مركز شرطه جراجوس,1-Jun-22,1-Jun-23,,0,,,,,,,
مركز شرطه حجازة,1-Jun-22,1-Jun-23,,0,,,,,,,
مركز شرطه كلابشه,1-Jun-22,1-Jun-23,,0,,,,,,,
مستقبل مصر,24-Jul-23,23-Apr-24,,الضبعة,,,,,,,
مستقبل مصر 2 - حفر وتبطين,16-Apr-23,16-Oct-23,,الضبعة,,,,,,,
مصارف ابيار الثانية أ,16-Jan-18,31-Dec-19,,غربية,,,,,,,
مصارف ابيار الثانيه ب,20-Dec-16,19-Aug-18,,غربية,,,,,,,
مصارف الاحراز,11-Nov-15,11-Nov-17,,الزقازيق,,,,,,,
مصارف البكاتوش,20-Jun-18,19-Feb-20,,طنطا,,,,,,,
مصارف الحصه الاولى,,,,,,,,,,,
مصارف الحصه الثانيه,,,,,,,,,,,
مصارف السبع الثالثه,10-May-17,9-Nov-18,,بركة السبع - المنوفية,,,,,,,
مصارف السرو الاعلى,15-Mar-16,15-Nov-17,,المنصورة ,,,,,,,
مصارف المحموديه الاولى,,,,,,,,,,,
مصارف النقراشى ب,,,,,,,,,,,
مصارف بركه السبع,,,,,,,,,,,
مصارف تلا ب,,,,,,,,,,,
مصارف زفتى الاولى,,,,,,,,,,,
مصارف شوبر,18-Jul-18,17-Jan-20,,الغربية,,,,,,,
مصارف محله روح,30-Nov-15,30-Jun-17,,الغربية ,,,,,,,
مصروف الايجار التمويلي,,,,,,,,,,,
مصنع المصرية الألمانية لصناعة المكرونة,1-Feb-22,1-Feb-23,,أكتوبر,,,,,,,
منافذ امان,1-Dec-20,31-Dec-21,,اماكن مختلفه,,,,,,,
منفذ بيع 15 مايو,,,,,,,,,,,
منفذ بيع الحى العاشر,,,,,,,,,,,
منفذ بيع بنها,,,,,,,,,,,
منفذ بيع زهراء المعادى,,,,,,,,,,,
مول ستون ستريت,7-Nov-19,7-Nov-21,,التجمع - ستون رزيدنس,,,,,,,
مول غرب الشروق,1-Jan-16,30-Jun-21,,الشروق,,,,,,,
نفق 26 يوليو,4-Oct-22,3-Dec-22,,26يوليو,,,,,,,
نفق رقم 5 إمتداد الساحلي,1-Dec-22,1-Jun-23,,الضبعة,,,,,,,
واحه المهندسين,15-Feb-17,15-Apr-19,,6 أكتوبر,,,,,,,
