Date,رقم القيد,              ,اسم المشروع معدل,اسم المشروع,Type,Amount,Code
1/1/2021,349,مبيعات خرسانه الجيزه,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,62614.04,3001
1/1/2021,350,مبيعات خرسانه الميدان,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,47894.74,3001
1/1/2021,351,مبيعات خرسانه AHM,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,17473.68,3001
1/1/2021,352,مبيعات خرسانه بنادر,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,249456.14,3001
1/1/2021,353,مبيعات خرسانه القاهره,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,376166.67,3001
1/1/2021,354,مبيعات خرسانه سكوير,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,4368.42,3001
1/1/2021,421,مبيعات خرسانه الجيزه,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,32035.09,3001
1/1/2021,422,مبيعات خرسانه الميدان,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,7394.74,3001
1/1/2021,423,مبيعات خرسانه بنادر,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,155543.86,3001
1/1/2021,424,مبيعات خرسانه القاهره,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,375087.72,3001
1/1/2021,425,مبيعات خرسانه سكوير,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,1280.7,3001
1/1/2021,426,مبيعات خرسانه الوادى,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,65991.23,3001
1/1/2021,820,مبيعات خرسانه بنادر,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,119469.3,3001
1/1/2021,821,مبيعات خرسانه القاهره,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,12807.02,3001
1/1/2021,822,مبيعات خرسانه سكوير,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,101929.82,3001
1/1/2021,823,مبيعات خرسانه وادى ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,6842.11,3001
1/1/2021,824,مبيعات خرسانه الصفا ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,5815.79,3001
1/1/2021,825,مبيعات خرسانه الصفوه ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,3078.95,3001
1/1/2021,826,مبيعات خرسانه الجيزه ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,39315.79,3001
1/1/2021,827,مبيعات خرسانه الميدان ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,60368.42,3001
1/1/2021,828,مبيعات خرسانه نحو ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,8894.74,3001
1/1/2021,829,مبيعات خرسانه هاي ايجي ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,41508.77,3001
1/1/2021,830,مبيعات خرسانه بنادر  ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,270114.04,3001
1/1/2021,831,مبيعات خرسانه القاهره  ,محطه خلط رويه,محطه خلط رويه,محطات خلط الخرسانه,186333.33,3001
