Date,رقم القيد,              ,اسم المشروع معدل,اسم المشروع,Type,Amount,Code
3/1/2023,3045,تسوية عملاء مقاولات الربع الاول - تسوية مستخلص جارى 1 قبل الصرف + الميزانيه,كوبرى جمصه,كوبرى جمصه,المقاولات,41871380,4117
3/1/2023,3046,تسوية عملاء مقاولات الربع الاول - تسوية مستخلص جارى 11 بعد الصرف,مبنى خدمات الفحص الفنى - سوهاج ,مبنى خدمات الفحص الفنى - سوهاج ,المقاولات,11720386.44,4094
3/1/2023,3047,تسوية عملاء مقاولات الربع الاول - تسوية مستخلصات ميزانيه 31-3-2023,نفق رقم 5 إمتداد الساحلي,نفق رقم 5 إمتداد الساحلي,المقاولات,64675912.38,4153
3/1/2023,3048,تسوية عملاء مقاولات الربع الاول - تسوية مستخلصات ميزانيه 31-3-2023,كوبرى ناهيا,كوبرى ناهيا,المقاولات,71748021.87,4163
3/1/2023,3049,تسوية عملاء مقاولات الربع الاول - تسوية مستخلصات ميزانيه 31-3-2023,برج اتصالات مديريه امن المنيا,برج اتصالات مديريه امن المنيا,المقاولات,5600000,4157
3/1/2023,3050,تسوية عملاء مقاولات الربع الاول - تسوية مستخلصات ميزانيه 31-3-2023,سجن سوهاج المطور,سجن سوهاج المطور,المقاولات,126828435.1,4126
3/1/2023,3051,تسوية عملاء مقاولات الربع الاول - تسوية مستخلصات ميزانيه 31-3-2023,مركز شرطه الاحوال المدنيه,مركز شرطه الاحوال المدنيه,المقاولات,580557.07,4146
3/1/2023,3057,تسوية عملاء مقاولات الربع الاول - تسوية مستخلصات ميزانيه 31-3-2023,مديريه امن اسيوط,مديريه امن اسيوط,المقاولات,54980475.78,4121
3/1/2023,3058,تسوية عملاء مقاولات الربع الاول - تسوية مستخلصات ميزانيه 31-3-2023,ستون بارك,ستون بارك,المقاولات,11101970.01,4118
3/1/2023,3059,تسوية عملاء مقاولات الربع الاول - تسوية مستخلص 6 و7 قبل الصرف و مستخلصات ميزانيه 31-3-2023,شاليهات تلال السخنه - Z4,شاليهات تلال السخنه - Z4,المقاولات,9718303,4132
3/1/2023,3060,تسوية عملاء مقاولات الربع الاول - تسوية مستخلص4و5و6 قبل الصرف و مستخلصات ميزانيه 31-3-2023,اعمال ترابيه والحوائط السانده تلال السخنه - Z6,اعمال ترابيه والحوائط السانده تلال السخنه - Z6,المقاولات,22950018.85,4119
3/1/2023,3061,تسوية عملاء مقاولات الربع الاول - تسوية مستخلص16و17و18 بعد الصرف و مستخلصات ميزانيه 31-3-2023,محطه الهنادى - الأقصر,محطه الهنادى - الأقصر,المقاولات,46289373.38,4100
3/1/2023,3062,تسوية عملاء مقاولات الربع الاول - تسوية مستخلص3و4و5 قبل الصرف و مستخلصات ميزانيه 31-3-2023,مديريه امن الأقصر,مديريه امن الأقصر,المقاولات,36466124.18,4101
3/1/2023,3063,تسوية عملاء مقاولات الربع الاول - تسوية المستخلص الختامى بعد الصرف,مبنى خدمات الفحص الفنى - 15مايو,مبنى خدمات الفحص الفنى - 15مايو,المقاولات,1432781.23,4093
3/1/2023,3064,تسوية عملاء مقاولات الربع الاول - تسوية المستخلص الختامى بعد الصرف,مبنى خدمات الفحص الفني - العبور,مبنى خدمات الفحص الفني - العبور,المقاولات,4555826.48,4080
3/1/2023,3065,تسوية عملاء مقاولات الربع الاول - تسوية مستخلص 10 بعد الصرف,معسكر امن قنا,معسكر امن قنا,المقاولات,5352768.96,4096
3/1/2023,3066,تسوية عملاء مقاولات الربع الاول - تسوية المستخلص الختامى بعد الصرف,57ع. رؤية,57ع. رؤية,المقاولات,-291473,4023
3/1/2023,3104,تسوية عملاء مقاولات الربع الاول - تسوية مستخلصات ميزانيه 31-3-2023,دار الايتام بالعبور,دار الايتام بالعبور,المقاولات,2992666.03,4102
3/1/2023,3105,تسوية عملاء مقاولات الربع الاول - تسوية مستخلصات ميزانيه 31-3-2023,تجهيزات مطبخ جامعه الازهر,تجهيزات مطبخ جامعه الازهر,المقاولات,5006904,4122
3/1/2023,3106,تسوية عملاء مقاولات الربع الاول - تسوية مستخلصات ميزانيه 31-3-2023,معالجة فواصل كبارى محور 26 يوليو,معالجة فواصل كبارى محور 26 يوليو,المقاولات,6380798.74,4165
6/1/2023,2008,قيمه مبيعات الخرسانه - شرك الجيزه للمقاولات والاستثمار العقارى,محطه خلط بروكس,محطه خلط بروكس,محطات خلط الخرسانه,20240,3004
6/1/2023,2009,قيمه مبيعات الخرسانه - شرك الجيزه للمقاولات والاستثمار العقارى,محطه خلط بروكس,محطه خلط بروكس,محطات خلط الخرسانه,99600,3004
6/1/2023,2208,تسوية عملاء استثمار عقارى يونيه 2023 - اثبات ايراد مبيعات وحدات مباعه وتم تسليمها خلال الربع الثانى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار العقارى,25348110,7003
6/1/2023,2209,تسوية عملاء استثمار عقارى يونيه 2023 - اثبات ايراد لوحدات مسلمه للعملاء خلال الربع الثانى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار العقارى,1108800,7003
6/1/2023,2210,تسوية عملاء استثمار عقارى يونيه 2023 - اثبات مبيعات استثمار عقارى لوحدات مباعه وتم تسليمها فعليا,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار العقارى,980000,7003
6/1/2023,2211,تسوية عملاء استثمار عقارى يونيه 2023 - اثبات تحويل جزء من الايراد المؤجل الى ايراد الاستثمار العقارى خلال الربع الثانى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار العقارى,586272,7003
6/1/2023,2212,تسوية عملاء استثمار عقارى يونيه 2023 - اثبات تحويل جزء من الايراد المؤجل الى ايراد الاستثمار العقارى خلال الربع الثانى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار العقارى,347897,7003
6/1/2023,2213,تسوية عملاء استثمار عقارى يونيه 2023 - اثبات تحويل جزء من الايراد المؤجل الى ايراد الاستثمار العقارى خلال الربع الثانى,كارفور- دارنا ( وحدات مباعه ),كارفور- دارنا ( وحدات مباعه ),الاستثمار العقارى,2358,7001
6/1/2023,2213,تسوية عملاء استثمار عقارى يونيه 2023 - اثبات تحويل جزء من الايراد المؤجل الى ايراد الاستثمار العقارى خلال الربع الثانى,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار العقارى,27361,7003
6/1/2023,2213,تسوية عملاء استثمار عقارى يونيه 2023 - اثبات تحويل جزء من الايراد المؤجل الى ايراد الاستثمار العقارى خلال الربع الثانى,جراج عمارة 14 دارنا ( وحدات مباعه ),جراج عمارة 14 دارنا ( وحدات مباعه ),الاستثمار العقارى,1386,7006
6/1/2023,2213,تسوية عملاء استثمار عقارى يونيه 2023 - اثبات تحويل جزء من الايراد المؤجل الى ايراد الاستثمار العقارى خلال الربع الثانى,رووف العبور ( وحدات مباعه ),رووف العبور ( وحدات مباعه ),الاستثمار العقارى,774,7008
6/1/2023,2219,تسوية عملاء استثمار عقارى يونيه 2023 - اثبات الغاء وحده مباعه بالمشروع - فسخ تعاقد الوحده 9 عمارة 159,رؤية ( وحدات مباعه ),رؤية ( وحدات مباعه ),الاستثمار العقارى,-1123000,7003
6/1/2023,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه النمسا,مركز شرطه النمسا,المقاولات,-121468.68,4144
6/1/2023,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه حجازة,مركز شرطه حجازة,المقاولات,-716800.61,4143
6/1/2023,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه جراجوس,مركز شرطه جراجوس,المقاولات,-682218.02,4145
6/1/2023,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه الرمادى,مركز شرطه الرمادى,المقاولات,-321732.17,4138
6/1/2023,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه المطاعنه,مركز شرطه المطاعنه,المقاولات,-1123230.88,4139
6/1/2023,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه القناطر,مركز شرطه القناطر,المقاولات,-15123.28,4142
6/1/2023,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه الرديسه,مركز شرطه الرديسه,المقاولات,1419228.52,4137
6/1/2023,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه البوصيليه,مركز شرطه البوصيليه,المقاولات,1560291.75,4141
6/1/2023,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه كلابشه,مركز شرطه كلابشه,المقاولات,2169487.74,4140
6/1/2023,2222,تسوية عملاء استثمار عقارى يونيه 2023 - تسوية مستخلصات ميزانيه ,مركز شرطه النخيله,مركز شرطه النخيله,المقاولات,1347761.65,4148
