Date,No.,Note,Cost Center,Amount,TYPE,Type 2
1-Apr-18,442,,العاصمة الإدارية,25000.00,Cash Out,Cash Out
1-Apr-18,786,,العاصمة الإدارية,50000.00,Cash Out,Cash Out
1-May-18,15,,العاصمة الإدارية,5760.00,Cash Out,Cash Out
1-May-18,74,,العاصمة الإدارية,200000.00,Cash Out,Cash Out
1-May-18,375,,العاصمة الإدارية,150000.00,Cash Out,Cash Out
1-May-18,538,,العاصمة الإدارية,50000.00,Cash Out,Cash Out
1-May-18,982,,العاصمة الإدارية,50000.00,Cash Out,Cash Out
1-Jun-18,375,,العاصمة الإدارية,200000.00,Cash Out,Cash Out
1-Jul-18,71,,العاصمة الإدارية,100000.00,Cash Out,Cash Out
1-Jul-18,225,,العاصمة الإدارية,50000.00,Cash Out,Cash Out
1-Jul-18,674,,العاصمة الإدارية,50000.00,Cash Out,Cash Out
1-Aug-18,241,,العاصمة الإدارية,85500.00,Cash Out,Cash Out
1-Aug-18,546,,العاصمة الإدارية,150000.00,Cash Out,Cash Out
1-Aug-18,791,,العاصمة الإدارية,15000.00,Cash Out,Cash Out
1-Aug-18,868,,العاصمة الإدارية,13536.00,Cash Out,Cash Out
1-Sep-18,148,,العاصمة الإدارية,14175.00,Cash Out,Cash Out
1-Sep-18,161,,العاصمة الإدارية,10000.00,Cash Out,Cash Out
1-Sep-18,275,,العاصمة الإدارية,2718.40,Cash Out,Cash Out
1-Sep-18,610,,العاصمة الإدارية,100000.00,Cash Out,Cash Out
1-Sep-18,864,,العاصمة الإدارية,6000.00,Cash Out,Cash Out
1-Oct-18,5,,العاصمة الإدارية,15000.00,Cash Out,Cash Out
1-Oct-18,31,,العاصمة الإدارية,50000.00,Cash Out,Cash Out
1-Oct-18,222,,العاصمة الإدارية,626879.24,Cash Out,Cash Out
1-Oct-18,331,,العاصمة الإدارية,11035.00,Cash Out,Cash Out
1-Oct-18,793,,العاصمة الإدارية,1000000.00,Cash Out,Cash Out
1-Oct-18,847,,العاصمة الإدارية,30000.00,Cash Out,Cash Out
1-Oct-18,924,,العاصمة الإدارية,200000.00,Cash Out,Cash Out
1-Oct-18,993,,العاصمة الإدارية,1169350.00,Cash Out,Cash Out
1-Oct-18,1022,,العاصمة الإدارية,748098.48,Cash Out,Cash Out
1-Nov-18,16,,العاصمة الإدارية,27230.00,Cash Out,Cash Out
1-Nov-18,39,,العاصمة الإدارية,15050.00,Cash Out,Cash Out
1-Nov-18,45,,العاصمة الإدارية,503501.91,Cash Out,Cash Out
1-Nov-18,91,,العاصمة الإدارية,500000.00,Cash Out,Cash Out
1-Nov-18,430,,العاصمة الإدارية,1120420.00,Cash Out,Cash Out
1-Nov-18,499,,العاصمة الإدارية,290000.00,Cash Out,Cash Out
1-Nov-18,806,,العاصمة الإدارية,681718.00,Cash Out,Cash Out
1-Nov-18,848,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Nov-18,1077,,العاصمة الإدارية,1219714.50,Cash Out,Cash Out
1-Nov-18,1079,,العاصمة الإدارية,1538394.00,Cash Out,Cash Out
1-Dec-18,17,,العاصمة الإدارية,31528.00,Cash Out,Cash Out
1-Dec-18,25,,العاصمة الإدارية,15390.00,Cash Out,Cash Out
1-Dec-18,27,,العاصمة الإدارية,11588.40,Cash Out,Cash Out
1-Dec-18,33,,العاصمة الإدارية,41195.00,Cash Out,Cash Out
1-Dec-18,76,,العاصمة الإدارية,176103.00,Cash Out,Cash Out
1-Dec-18,305,,العاصمة الإدارية,843312.02,Cash Out,Cash Out
1-Dec-18,317,,العاصمة الإدارية,1666000.00,Cash Out,Cash Out
1-Dec-18,663,,العاصمة الإدارية,816466.43,Cash Out,Cash Out
1-Dec-18,670,,العاصمة الإدارية,32585.00,Cash Out,Cash Out
1-Dec-18,736,,العاصمة الإدارية,460505.00,Cash Out,Cash Out
1-Dec-18,803,,العاصمة الإدارية,7050.00,Cash Out,Cash Out
1-Jan-19,16,,العاصمة الإدارية,30000.00,Cash Out,Cash Out
1-Jan-19,51,,العاصمة الإدارية,206790.30,Cash Out,Cash Out
1-Jan-19,56,,العاصمة الإدارية,166383.00,Cash Out,Cash Out
1-Jan-19,57,,العاصمة الإدارية,519361.20,Cash Out,Cash Out
1-Jan-19,101,,العاصمة الإدارية,913982.00,Cash Out,Cash Out
1-Jan-19,165,,العاصمة الإدارية,511876.00,Cash Out,Cash Out
1-Jan-19,168,,العاصمة الإدارية,475285.00,Cash Out,Cash Out
1-Jan-19,182,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Jan-19,307,,العاصمة الإدارية,631656.00,Cash Out,Cash Out
1-Jan-19,352,,العاصمة الإدارية,46616.00,Cash Out,Cash Out
1-Jan-19,579,,العاصمة الإدارية,800000.00,Cash Out,Cash Out
1-Jan-19,625,,العاصمة الإدارية,111963.00,Cash Out,Cash Out
1-Jan-19,638,,العاصمة الإدارية,348000.00,Cash Out,Cash Out
1-Jan-19,647,,العاصمة الإدارية,620992.00,Cash Out,Cash Out
1-Jan-19,649,,العاصمة الإدارية,620000.00,Cash Out,Cash Out
1-Jan-19,665,,العاصمة الإدارية,154498.50,Cash Out,Cash Out
1-Jan-19,681,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Jan-19,755,,العاصمة الإدارية,300000.00,Cash Out,Cash Out
1-Jan-19,839,,العاصمة الإدارية,400000.00,Cash Out,Cash Out
1-Jan-19,842,,العاصمة الإدارية,390289.00,Cash Out,Cash Out
1-Jan-19,843,,العاصمة الإدارية,44161.00,Cash Out,Cash Out
1-Feb-19,21,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Feb-19,126,,العاصمة الإدارية,232833.00,Cash Out,Cash Out
1-Feb-19,146,,العاصمة الإدارية,95076.00,Cash Out,Cash Out
1-Feb-19,148,,العاصمة الإدارية,1063240.50,Cash Out,Cash Out
1-Feb-19,164,,العاصمة الإدارية,156875.40,Cash Out,Cash Out
1-Feb-19,256,,العاصمة الإدارية,2000000.00,Cash Out,Cash Out
1-Feb-19,364,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Feb-19,440,,العاصمة الإدارية,214861.50,Cash Out,Cash Out
1-Feb-19,459,,العاصمة الإدارية,305136.00,Cash Out,Cash Out
1-Feb-19,540,,العاصمة الإدارية,599136.00,Cash Out,Cash Out
1-Feb-19,548,,العاصمة الإدارية,666111.00,Cash Out,Cash Out
1-Feb-19,678,,العاصمة الإدارية,417981.00,Cash Out,Cash Out
1-Feb-19,758,,العاصمة الإدارية,915174.00,Cash Out,Cash Out
1-Feb-19,823,,العاصمة الإدارية,1212573.00,Cash Out,Cash Out
1-Mar-19,11,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Mar-19,34,,العاصمة الإدارية,188668.86,Cash Out,Cash Out
1-Mar-19,47,,العاصمة الإدارية,500000.00,Cash Out,Cash Out
1-Mar-19,57,,العاصمة الإدارية,1159234.03,Cash Out,Cash Out
1-Mar-19,58,,العاصمة الإدارية,296058.00,Cash Out,Cash Out
1-Mar-19,83,,العاصمة الإدارية,7600.00,Cash Out,Cash Out
1-Mar-19,202,,العاصمة الإدارية,235071.00,Cash Out,Cash Out
1-Mar-19,305,,العاصمة الإدارية,87153.00,Cash Out,Cash Out
1-Mar-19,348,,العاصمة الإدارية,1134296.00,Cash Out,Cash Out
1-Mar-19,377,,العاصمة الإدارية,545334.00,Cash Out,Cash Out
1-Mar-19,443,,العاصمة الإدارية,656455.00,Cash Out,Cash Out
1-Mar-19,481,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Mar-19,488,,العاصمة الإدارية,596467.25,Cash Out,Cash Out
1-Mar-19,636,,العاصمة الإدارية,234166.65,Cash Out,Cash Out
1-Mar-19,675,,العاصمة الإدارية,152913.90,Cash Out,Cash Out
1-Mar-19,894,,العاصمة الإدارية,1545568.81,Cash Out,Cash Out
1-Mar-19,1109,,العاصمة الإدارية,796509.00,Cash Out,Cash Out
1-Mar-19,1136,,العاصمة الإدارية,337695.00,Cash Out,Cash Out
1-Mar-19,1818,,العاصمة الإدارية,58823.53,Cash Out,Cash Out
1-Apr-19,21,,العاصمة الإدارية,36300.00,Cash Out,Cash Out
1-Apr-19,37,,العاصمة الإدارية,231990.00,Cash Out,Cash Out
1-Apr-19,38,,العاصمة الإدارية,413022.00,Cash Out,Cash Out
1-Apr-19,108,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Apr-19,207,,العاصمة الإدارية,1067604.00,Cash Out,Cash Out
1-Apr-19,248,,العاصمة الإدارية,669739.00,Cash Out,Cash Out
1-Apr-19,250,,العاصمة الإدارية,727295.00,Cash Out,Cash Out
1-Apr-19,259,,العاصمة الإدارية,148515.75,Cash Out,Cash Out
1-Apr-19,264,,العاصمة الإدارية,1621970.00,Cash Out,Cash Out
1-Apr-19,439,,العاصمة الإدارية,30000.00,Cash Out,Cash Out
1-Apr-19,473,,العاصمة الإدارية,503954.10,Cash Out,Cash Out
1-Apr-19,581,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Apr-19,663,,العاصمة الإدارية,1442096.00,Cash Out,Cash Out
1-Apr-19,675,,العاصمة الإدارية,555473.00,Cash Out,Cash Out
1-Apr-19,681,,العاصمة الإدارية,534020.00,Cash Out,Cash Out
1-Apr-19,774,,العاصمة الإدارية,618139.00,Cash Out,Cash Out
1-Apr-19,827,,العاصمة الإدارية,516957.00,Cash Out,Cash Out
1-May-19,16,,العاصمة الإدارية,563763.60,Cash Out,Cash Out
1-May-19,49,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-May-19,88,,العاصمة الإدارية,152817.00,Cash Out,Cash Out
1-May-19,90,,العاصمة الإدارية,53876.40,Cash Out,Cash Out
1-May-19,92,,العاصمة الإدارية,235296.00,Cash Out,Cash Out
1-May-19,207,,العاصمة الإدارية,750803.00,Cash Out,Cash Out
1-May-19,234,,العاصمة الإدارية,631593.00,Cash Out,Cash Out
1-May-19,255,,العاصمة الإدارية,36081.00,Cash Out,Cash Out
1-May-19,288,,العاصمة الإدارية,777944.00,Cash Out,Cash Out
1-May-19,294,,العاصمة الإدارية,155268.00,Cash Out,Cash Out
1-May-19,317,,العاصمة الإدارية,26215.00,Cash Out,Cash Out
1-May-19,323,,العاصمة الإدارية,168142.00,Cash Out,Cash Out
1-May-19,524,,العاصمة الإدارية,597739.00,Cash Out,Cash Out
1-May-19,540,,العاصمة الإدارية,1735742.00,Cash Out,Cash Out
1-May-19,571,,العاصمة الإدارية,736156.00,Cash Out,Cash Out
1-May-19,573,,العاصمة الإدارية,353291.00,Cash Out,Cash Out
1-May-19,705,,العاصمة الإدارية,1072109.00,Cash Out,Cash Out
1-May-19,713,,العاصمة الإدارية,162735.00,Cash Out,Cash Out
1-May-19,715,,العاصمة الإدارية,171114.00,Cash Out,Cash Out
1-May-19,775,,العاصمة الإدارية,385858.00,Cash Out,Cash Out
1-May-19,804,,العاصمة الإدارية,787311.00,Cash Out,Cash Out
1-May-19,818,,العاصمة الإدارية,509856.00,Cash Out,Cash Out
1-Jun-19,4,,العاصمة الإدارية,6330.00,Cash Out,Cash Out
1-Jun-19,66,,العاصمة الإدارية,31000.00,Cash Out,Cash Out
1-Jun-19,104,,العاصمة الإدارية,23141.00,Cash Out,Cash Out
1-Jun-19,108,,العاصمة الإدارية,7376.00,Cash Out,Cash Out
1-Jun-19,294,,العاصمة الإدارية,199180.80,Cash Out,Cash Out
1-Jun-19,296,,العاصمة الإدارية,22976.70,Cash Out,Cash Out
1-Jun-19,298,,العاصمة الإدارية,139547.40,Cash Out,Cash Out
1-Jun-19,339,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Jun-19,394,,العاصمة الإدارية,413217.00,Cash Out,Cash Out
1-Jun-19,396,,العاصمة الإدارية,280123.00,Cash Out,Cash Out
1-Jun-19,461,,العاصمة الإدارية,945156.00,Cash Out,Cash Out
1-Jun-19,519,,العاصمة الإدارية,693672.00,Cash Out,Cash Out
1-Jun-19,532,,العاصمة الإدارية,541547.00,Cash Out,Cash Out
1-Jul-19,1,,العاصمة الإدارية,30000.00,Cash Out,Cash Out
1-Jul-19,28,,العاصمة الإدارية,140317.80,Cash Out,Cash Out
1-Jul-19,35,,العاصمة الإدارية,2260.00,Cash Out,Cash Out
1-Jul-19,75,,العاصمة الإدارية,10000.00,Cash Out,Cash Out
1-Jul-19,82,,العاصمة الإدارية,230942.25,Cash Out,Cash Out
1-Jul-19,118,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Jul-19,283,,العاصمة الإدارية,157976.00,Cash Out,Cash Out
1-Jul-19,330,,العاصمة الإدارية,1277046.00,Cash Out,Cash Out
1-Jul-19,332,,العاصمة الإدارية,1093704.00,Cash Out,Cash Out
1-Jul-19,350,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Jul-19,406,,العاصمة الإدارية,38822.70,Cash Out,Cash Out
1-Jul-19,407,,العاصمة الإدارية,155040.00,Cash Out,Cash Out
1-Jul-19,519,,العاصمة الإدارية,199695.00,Cash Out,Cash Out
1-Jul-19,544,,العاصمة الإدارية,45235.00,Cash Out,Cash Out
1-Jul-19,596,,العاصمة الإدارية,183398.00,Cash Out,Cash Out
1-Jul-19,648,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Jul-19,685,,العاصمة الإدارية,1154810.00,Cash Out,Cash Out
1-Jul-19,787,,العاصمة الإدارية,372777.00,Cash Out,Cash Out
1-Jul-19,789,,العاصمة الإدارية,22214.00,Cash Out,Cash Out
1-Jul-19,808,,العاصمة الإدارية,492897.00,Cash Out,Cash Out
1-Aug-19,38,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Aug-19,61,,العاصمة الإدارية,56276.50,Cash Out,Cash Out
1-Aug-19,167,,العاصمة الإدارية,1464818.00,Cash Out,Cash Out
1-Aug-19,190,,العاصمة الإدارية,181813.00,Cash Out,Cash Out
1-Aug-19,328,,العاصمة الإدارية,1433336.00,Cash Out,Cash Out
1-Aug-19,373,,العاصمة الإدارية,886900.00,Cash Out,Cash Out
1-Aug-19,388,,العاصمة الإدارية,30000.00,Cash Out,Cash Out
1-Aug-19,628,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Aug-19,670,,العاصمة الإدارية,466710.30,Cash Out,Cash Out
1-Aug-19,672,,العاصمة الإدارية,500699.40,Cash Out,Cash Out
1-Aug-19,681,,العاصمة الإدارية,20861.03,Cash Out,Cash Out
1-Aug-19,704,,العاصمة الإدارية,753084.00,Cash Out,Cash Out
1-Aug-19,757,,العاصمة الإدارية,100000.00,Cash Out,Cash Out
1-Aug-19,759,,العاصمة الإدارية,100000.00,Cash Out,Cash Out
1-Sep-19,4,,العاصمة الإدارية,331768.00,Cash Out,Cash Out
1-Sep-19,22,,العاصمة الإدارية,32300.00,Cash Out,Cash Out
1-Sep-19,97,,العاصمة الإدارية,34970.00,Cash Out,Cash Out
1-Sep-19,165,,العاصمة الإدارية,451969.00,Cash Out,Cash Out
1-Sep-19,278,,العاصمة الإدارية,316065.00,Cash Out,Cash Out
1-Sep-19,297,,العاصمة الإدارية,33842.00,Cash Out,Cash Out
1-Sep-19,311,,العاصمة الإدارية,431686.00,Cash Out,Cash Out
1-Sep-19,424,,العاصمة الإدارية,25000.00,Cash Out,Cash Out
1-Sep-19,664,,العاصمة الإدارية,1183895.00,Cash Out,Cash Out
1-Sep-19,694,,العاصمة الإدارية,194152.00,Cash Out,Cash Out
1-Sep-19,709,,العاصمة الإدارية,205563.00,Cash Out,Cash Out
1-Sep-19,725,,العاصمة الإدارية,111997.00,Cash Out,Cash Out
1-Sep-19,729,,العاصمة الإدارية,1036400.00,Cash Out,Cash Out
1-Sep-19,744,,العاصمة الإدارية,113298.00,Cash Out,Cash Out
1-Sep-19,770,,العاصمة الإدارية,10000.00,Cash Out,Cash Out
1-Sep-19,779,,العاصمة الإدارية,208736.25,Cash Out,Cash Out
1-Sep-19,951,,العاصمة الإدارية,198539.00,Cash Out,Cash Out
1-Sep-19,953,,العاصمة الإدارية,399936.00,Cash Out,Cash Out
1-Oct-19,14,,العاصمة الإدارية,8250.00,Cash Out,Cash Out
1-Oct-19,15,,العاصمة الإدارية,30000.00,Cash Out,Cash Out
1-Oct-19,38,,العاصمة الإدارية,21211.00,Cash Out,Cash Out
1-Oct-19,50,,العاصمة الإدارية,3172.61,Cash Out,Cash Out
1-Oct-19,76,,العاصمة الإدارية,1258823.00,Cash Out,Cash Out
1-Oct-19,297,,العاصمة الإدارية,594625.00,Cash Out,Cash Out
1-Oct-19,300,,العاصمة الإدارية,13406.00,Cash Out,Cash Out
1-Oct-19,332,,العاصمة الإدارية,395567.00,Cash Out,Cash Out
1-Oct-19,421,,العاصمة الإدارية,129880.00,Cash Out,Cash Out
1-Oct-19,429,,العاصمة الإدارية,44850.00,Cash Out,Cash Out
1-Oct-19,447,,العاصمة الإدارية,124391.00,Cash Out,Cash Out
1-Oct-19,650,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Oct-19,662,,العاصمة الإدارية,500249.10,Cash Out,Cash Out
1-Oct-19,730,,العاصمة الإدارية,203268.75,Cash Out,Cash Out
1-Oct-19,739,,العاصمة الإدارية,347819.70,Cash Out,Cash Out
1-Oct-19,974,,العاصمة الإدارية,174684.00,Cash Out,Cash Out
1-Oct-19,978,,العاصمة الإدارية,339926.00,Cash Out,Cash Out
1-Nov-19,6,,العاصمة الإدارية,38590.00,Cash Out,Cash Out
1-Nov-19,79,,العاصمة الإدارية,1732693.00,Cash Out,Cash Out
1-Nov-19,215,,العاصمة الإدارية,25000.00,Cash Out,Cash Out
1-Nov-19,334,,العاصمة الإدارية,10000.00,Cash Out,Cash Out
1-Nov-19,391,,العاصمة الإدارية,66291.00,Cash Out,Cash Out
1-Nov-19,393,,العاصمة الإدارية,66291.00,Cash Out,Cash Out
1-Nov-19,403,,العاصمة الإدارية,335538.00,Cash Out,Cash Out
1-Nov-19,456,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Nov-19,491,,العاصمة الإدارية,538074.35,Cash Out,Cash Out
1-Nov-19,531,,العاصمة الإدارية,16593.46,Cash Out,Cash Out
1-Nov-19,647,,العاصمة الإدارية,77144.00,Cash Out,Cash Out
1-Nov-19,681,,العاصمة الإدارية,291349.00,Cash Out,Cash Out
1-Nov-19,868,,العاصمة الإدارية,275920.00,Cash Out,Cash Out
1-Dec-19,7,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Dec-19,26,,العاصمة الإدارية,7800.00,Cash Out,Cash Out
1-Dec-19,31,,العاصمة الإدارية,332788.80,Cash Out,Cash Out
1-Dec-19,109,,العاصمة الإدارية,86158.00,Cash Out,Cash Out
1-Dec-19,185,,العاصمة الإدارية,164827.00,Cash Out,Cash Out
1-Dec-19,277,,العاصمة الإدارية,177803.00,Cash Out,Cash Out
1-Dec-19,298,,العاصمة الإدارية,892.11,Cash Out,Cash Out
1-Dec-19,318,,العاصمة الإدارية,153723.20,Cash Out,Cash Out
1-Dec-19,394,,العاصمة الإدارية,20000.00,Cash Out,Cash Out
1-Dec-19,442,,العاصمة الإدارية,82651.00,Cash Out,Cash Out
1-Dec-19,459,,العاصمة الإدارية,451438.00,Cash Out,Cash Out
1-Dec-19,476,,العاصمة الإدارية,174467.00,Cash Out,Cash Out
1-Dec-19,577,,العاصمة الإدارية,194349.50,Cash Out,Cash Out
1-Dec-19,643,,العاصمة الإدارية,251021.00,Cash Out,Cash Out
1-Dec-19,645,,العاصمة الإدارية,100408.00,Cash Out,Cash Out
1-Dec-19,756,,العاصمة الإدارية,50000.00,Cash Out,Cash Out
1-Dec-19,908,,العاصمة الإدارية,198986.00,Cash Out,Cash Out
1-Dec-19,922,,العاصمة الإدارية,453036.00,Cash Out,Cash Out
1-Dec-19,935,,العاصمة الإدارية,86382.75,Cash Out,Cash Out
1-Dec-19,950,,العاصمة الإدارية,228303.00,Cash Out,Cash Out
1-Dec-19,952,,العاصمة الإدارية,87121.00,Cash Out,Cash Out
1-Dec-19,984,,العاصمة الإدارية,132553.34,Cash Out,Cash Out
1-Dec-19,989,,العاصمة الإدارية,35340.00,Cash Out,Cash Out
1-Jan-20,273,,العاصمة الإدارية,134435.00,Cash Out,Cash Out
1-Jan-20,682,,العاصمة الإدارية,193072.00,Cash Out,Cash Out
1-Jan-20,698,,العاصمة الإدارية,149572.00,Cash Out,Cash Out
1-Jan-20,810,,العاصمة الإدارية,76502.00,Cash Out,Cash Out
1-Jan-20,818,,العاصمة الإدارية,362981.00,Cash Out,Cash Out
1-Feb-20,503,,العاصمة الإدارية,163154.00,Cash Out,Cash Out
1-Feb-20,505,,العاصمة الإدارية,323201.00,Cash Out,Cash Out
1-Feb-20,507,,العاصمة الإدارية,339815.00,Cash Out,Cash Out
1-Feb-20,509,,العاصمة الإدارية,209097.00,Cash Out,Cash Out
1-Feb-20,680,,العاصمة الإدارية,30000.00,Cash Out,Cash Out
1-Feb-20,775,,العاصمة الإدارية,67680.00,Cash Out,Cash Out
1-Feb-20,777,,العاصمة الإدارية,146765.00,Cash Out,Cash Out
1-Feb-20,779,,العاصمة الإدارية,307879.00,Cash Out,Cash Out
1-Feb-20,866,,العاصمة الإدارية,22155.00,Cash Out,Cash Out
1-Feb-20,1055,,العاصمة الإدارية,210255.00,Cash Out,Cash Out
1-Mar-20,157,,العاصمة الإدارية,717354.00,Cash Out,Cash Out
1-Mar-20,159,,العاصمة الإدارية,154010.00,Cash Out,Cash Out
1-Mar-20,238,,العاصمة الإدارية,10000.00,Cash Out,Cash Out
1-Mar-20,307,,العاصمة الإدارية,14100.00,Cash Out,Cash Out
1-Mar-20,321,,العاصمة الإدارية,100000.00,Cash Out,Cash Out
1-Mar-20,323,,العاصمة الإدارية,137593.00,Cash Out,Cash Out
1-Mar-20,325,,العاصمة الإدارية,129785.00,Cash Out,Cash Out
1-Mar-20,327,,العاصمة الإدارية,150059.00,Cash Out,Cash Out
1-Mar-20,329,,العاصمة الإدارية,129786.00,Cash Out,Cash Out
1-Mar-20,567,,العاصمة الإدارية,106580.00,Cash Out,Cash Out
1-Mar-20,591,,العاصمة الإدارية,61570.00,Cash Out,Cash Out
1-Mar-20,593,,العاصمة الإدارية,9494.00,Cash Out,Cash Out
1-Apr-20,44,,العاصمة الإدارية,100358.00,Cash Out,Cash Out
1-Apr-20,52,,العاصمة الإدارية,51858.00,Cash Out,Cash Out
1-Apr-20,53,,العاصمة الإدارية,159559.00,Cash Out,Cash Out
1-Apr-20,55,,العاصمة الإدارية,34768.00,Cash Out,Cash Out
1-Apr-20,59,,العاصمة الإدارية,6588.00,Cash Out,Cash Out
1-Apr-20,62,,العاصمة الإدارية,157047.00,Cash Out,Cash Out
1-Apr-20,75,,العاصمة الإدارية,5262.00,Cash Out,Cash Out
1-Apr-20,76,,العاصمة الإدارية,6555.00,Cash Out,Cash Out
1-Apr-20,96,,العاصمة الإدارية,30000.00,Cash Out,Cash Out
1-Apr-20,176,,العاصمة الإدارية,159560.00,Cash Out,Cash Out
1-Apr-20,177,,العاصمة الإدارية,6589.00,Cash Out,Cash Out
1-Apr-20,178,,العاصمة الإدارية,6555.00,Cash Out,Cash Out
1-Apr-20,179,,العاصمة الإدارية,100358.00,Cash Out,Cash Out
1-Apr-20,181,,العاصمة الإدارية,100000.00,Cash Out,Cash Out
1-Apr-20,182,,العاصمة الإدارية,51859.00,Cash Out,Cash Out
1-Apr-20,183,,العاصمة الإدارية,157048.00,Cash Out,Cash Out
1-Apr-20,184,,العاصمة الإدارية,34769.00,Cash Out,Cash Out
1-Apr-20,185,,العاصمة الإدارية,5263.00,Cash Out,Cash Out
1-Apr-20,317,,العاصمة الإدارية,200716.00,Cash Out,Cash Out
1-Apr-20,319,,العاصمة الإدارية,96289.00,Cash Out,Cash Out
1-Apr-20,321,,العاصمة الإدارية,101622.00,Cash Out,Cash Out
1-Apr-20,323,,العاصمة الإدارية,34458.00,Cash Out,Cash Out
1-Apr-20,339,,العاصمة الإدارية,49591.00,Cash Out,Cash Out
1-Apr-20,370,,العاصمة الإدارية,94552.75,Cash Out,Cash Out
1-Apr-20,371,,العاصمة الإدارية,50364.25,Cash Out,Cash Out
1-Apr-20,378,,العاصمة الإدارية,34099.13,Cash Out,Cash Out
1-Apr-20,381,,العاصمة الإدارية,1415896.00,Cash Out,Cash Out
1-Apr-20,393,,العاصمة الإدارية,500000.00,Cash Out,Cash Out
1-Apr-20,394,,العاصمة الإدارية,1000000.00,Cash Out,Cash Out
1-Apr-20,414,,العاصمة الإدارية,100000.00,Cash Out,Cash Out
1-Apr-20,650,,العاصمة الإدارية,827688.08,Cash Out,Cash Out
1-Apr-20,709,,العاصمة الإدارية,2951964.00,Cash Out,Cash Out
1-Apr-20,750,,العاصمة الإدارية,67059.00,Cash Out,Cash Out
1-Apr-20,752,,العاصمة الإدارية,10760.00,Cash Out,Cash Out
1-Apr-20,754,,العاصمة الإدارية,13110.00,Cash Out,Cash Out
1-Apr-20,756,,العاصمة الإدارية,20254.00,Cash Out,Cash Out
1-Apr-20,780,,العاصمة الإدارية,278564.00,Cash Out,Cash Out
1-May-20,41,,العاصمة الإدارية,170802.10,Cash Out,Cash Out
1-May-20,100,,العاصمة الإدارية,136074.00,Cash Out,Cash Out
1-May-20,103,,العاصمة الإدارية,5026.00,Cash Out,Cash Out
1-May-20,105,,العاصمة الإدارية,255676.00,Cash Out,Cash Out
1-May-20,108,,العاصمة الإدارية,3780.00,Cash Out,Cash Out
1-May-20,111,,العاصمة الإدارية,87200.00,Cash Out,Cash Out
1-May-20,121,,العاصمة الإدارية,29801.00,Cash Out,Cash Out
1-May-20,123,,العاصمة الإدارية,117627.00,Cash Out,Cash Out
1-May-20,153,,العاصمة الإدارية,402217.00,Cash Out,Cash Out
1-May-20,564,,العاصمة الإدارية,16673.00,Cash Out,Cash Out
1-May-20,568,,العاصمة الإدارية,171392.00,Cash Out,Cash Out
1-May-20,576,,العاصمة الإدارية,129367.00,Cash Out,Cash Out
1-May-20,584,,العاصمة الإدارية,14966.00,Cash Out,Cash Out
1-May-20,586,,العاصمة الإدارية,35467.00,Cash Out,Cash Out
1-May-20,614,,العاصمة الإدارية,188001.00,Cash Out,Cash Out
1-May-20,621,,العاصمة الإدارية,57025.00,Cash Out,Cash Out
1-May-20,625,,العاصمة الإدارية,196564.00,Cash Out,Cash Out
1-May-20,677,,العاصمة الإدارية,335762.00,Cash Out,Cash Out
1-May-20,689,,العاصمة الإدارية,42095.00,Cash Out,Cash Out
1-Jun-20,49,,العاصمة الإدارية,155615.70,Cash Out,Cash Out
1-Jun-20,214,,العاصمة الإدارية,63068.00,Cash Out,Cash Out
1-Jun-20,278,,العاصمة الإدارية,1197000.00,Cash Out,Cash Out
1-Jun-20,299,,العاصمة الإدارية,536056.14,Cash Out,Cash Out
1-Jun-20,365,,العاصمة الإدارية,25000.00,Cash Out,Cash Out
1-Jun-20,477,,العاصمة الإدارية,58958.00,Cash Out,Cash Out
1-Jun-20,497,,العاصمة الإدارية,113094.19,Cash Out,Cash Out
1-Jun-20,664,,العاصمة الإدارية,30000.00,Cash Out,Cash Out
1-Jun-20,718,,العاصمة الإدارية,376462.00,Cash Out,Cash Out
1-Jun-20,732,,العاصمة الإدارية,115788.00,Cash Out,Cash Out
1-Jun-20,740,,العاصمة الإدارية,92791.00,Cash Out,Cash Out
1-Jun-20,745,,العاصمة الإدارية,28503.00,Cash Out,Cash Out
1-Jun-20,747,,العاصمة الإدارية,14849.00,Cash Out,Cash Out
1-Jun-20,908,,العاصمة الإدارية,1509054.00,Cash Out,Cash Out
1-Jun-20,920,,العاصمة الإدارية,15704.00,Cash Out,Cash Out
